extraversion,agreeableness,openness,conscientiousness,neuroticism,prompt
introverted,agreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, unconscientious or, neurotic"
introverted,disagreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, neurotic"
introverted,agreeable,closed off,concientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, concientious or, not neurotic"
extroverted,agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic"
extroverted,agreeable,closed off,concientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, closed off, concientious or, not neurotic"
extroverted,disagreeable,open,concientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, not neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, open, concientious or, not neurotic"
introverted,disagreeable,closed off,concientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, concientious or, neurotic"
extroverted,agreeable,open,concientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, concientious or, neurotic"
introverted,disagreeable,closed off,unconscientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, not neurotic"
introverted,disagreeable,open,concientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, concientious or, not neurotic"
introverted,agreeable,closed off,unconscientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, not neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, unconscientious or, not neurotic"
introverted,disagreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, unconscientious or, neurotic"
introverted,disagreeable,open,concientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, concientious or, neurotic"
extroverted,disagreeable,open,concientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, open, concientious or, neurotic"
extroverted,disagreeable,closed off,concientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, closed off, concientious or, not neurotic"
extroverted,agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic"
extroverted,agreeable,open,unconscientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, not neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, not neurotic"
extroverted,agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic"
introverted,disagreeable,open,unconscientious,not neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, unconscientious or, not neurotic"
introverted,disagreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, neurotic"
